C1,C2,C3
0.216160783,0.638190254,0.145648963
0.180223255,0.688272701,0.131504044
0.200752993,0.645379195,0.153867812
0.201371434,0.653176544,0.145452022
0.225043208,0.599815321,0.175141472
0.221141005,0.631403433,0.147455562
0.510894116,0.340432106,0.148673778
0.428252467,0.355269309,0.216478224
0.264916503,0.401511241,0.333572256
0.264121272,0.457749035,0.278129693
0.261445228,0.455212517,0.283342255
0.176919979,0.689134976,0.133945046
0.219434059,0.606310181,0.174255759
0.191149965,0.680895549,0.127954486
0.216143344,0.658511938,0.125344718
0.164967347,0.722671902,0.112360751
0.221434205,0.62310329,0.155462505
0.235085185,0.612274646,0.152640169
0.196194309,0.663646389,0.140159302
0.327596494,0.392542912,0.279860594
0.329478957,0.398099464,0.272421578
0.290152644,0.461823354,0.248024002
0.29890186,0.438590283,0.262507857
0.296359074,0.459338426,0.244302499
0.295652128,0.459948762,0.24439911
0.299052474,0.46738122,0.233566305
0.328864592,0.398501772,0.272633636
0.302571238,0.447712279,0.249716483
0.304917792,0.433711106,0.261371102
0.327596494,0.392542912,0.279860594
0.287355908,0.463536524,0.249107568
0.298759702,0.438688395,0.262551903
0.252425653,0.50787735,0.239696997
0.252110685,0.508986902,0.238902413
0.21434989,0.664480197,0.121169913
0.163667851,0.715959091,0.120373058
0.471704839,0.246200594,0.282094567
0.455933404,0.260729782,0.283336814
0.587108976,0.216405153,0.196485871
0.489803231,0.250649969,0.2595468
0.779866415,0.136524381,0.083609204
0.644801479,0.19813213,0.157066392
0.678764979,0.176815871,0.144419149
0.794659578,0.125826717,0.079513706
0.499749586,0.283545275,0.21670514
0.475007454,0.303018422,0.221974124
0.558975272,0.24485917,0.196165558
0.415735583,0.236004837,0.34825958
0.430106564,0.267881272,0.302012164
0.713435753,0.152225887,0.13433836
0.645683232,0.193732552,0.160584216
0.472177019,0.300375955,0.227447026
0.731120113,0.140813937,0.12806595
0.732555265,0.144014133,0.123430602
0.293979638,0.230923957,0.475096405
0.302427757,0.265190942,0.432381301
0.755180952,0.135038371,0.109780677
0.108773148,0.812213182,0.07901367
0.123723587,0.787252092,0.089024321
0.486247201,0.34285663,0.170896169
0.257271366,0.46233823,0.280390404
0.23761468,0.502485459,0.259899861
0.178561476,0.625806431,0.195632094
0.184565981,0.61069608,0.204737939
0.166144103,0.639352012,0.194503885
0.190780205,0.59544704,0.213772755
0.14021892,0.718153379,0.141627701
0.150531535,0.698767624,0.150700841
0.131785556,0.765021765,0.103192679
0.146641594,0.740018936,0.11333947
0.108979591,0.805870517,0.085149892
0.128552533,0.774368729,0.097078738
0.107136264,0.792887343,0.099976393
0.122830188,0.769570745,0.107599067
0.120692682,0.771858677,0.10744864
0.13329309,0.751108824,0.115598086
0.121473651,0.762086619,0.11643973
0.143936912,0.726620998,0.12944209
0.180315471,0.616231903,0.203452626
0.199733976,0.567467,0.232799024
0.170342567,0.626278874,0.203378559
0.181396509,0.60065333,0.21795016
0.159478674,0.651873877,0.188647448
0.200754129,0.550263644,0.248982227
0.204518023,0.536740717,0.25874126
0.220215295,0.513617439,0.266167266
0.214777228,0.526957208,0.258265564
0.138928396,0.705719351,0.155352253
0.136390144,0.718564709,0.145045147
0.110437405,0.793182431,0.096380163
0.131082275,0.74691305,0.122004676
0.123925793,0.746379951,0.129694256
0.12585722,0.741164213,0.132978567
0.201490224,0.540294275,0.2582155
0.110753569,0.779116509,0.110129921
0.771557132,0.13730504,0.091137829
0.760182884,0.144013626,0.09580349
0.789340468,0.115169503,0.095490029
0.459412992,0.239252366,0.301334643
0.676081824,0.181010127,0.142908049
0.642071594,0.197631328,0.160297078
0.676533454,0.180633991,0.142832555
0.773677993,0.122161975,0.104160032
0.798673751,0.118195337,0.083130912
0.799124756,0.117848922,0.083026322
0.733556815,0.158041608,0.108401577
0.770548304,0.131596069,0.097855627
0.762946616,0.137951353,0.099102031
0.734159263,0.157642442,0.108198295
0.761836822,0.138314899,0.099848279
0.763157089,0.137606858,0.099236052
0.728831149,0.160978852,0.110189998
0.757092383,0.140859159,0.102048458
0.757092383,0.140859159,0.102048458
0.744710456,0.150024257,0.105265287
0.734159263,0.157642442,0.108198295
0.754066667,0.143264928,0.102668405
0.766876218,0.134777744,0.098346038
0.25980241,0.241322716,0.498874874
0.743378925,0.152738756,0.10388232
0.739361048,0.154956483,0.105682469
0.760893562,0.141398139,0.097708299
0.801163086,0.113445483,0.085391431
0.783922884,0.12766841,0.088408705
0.738372557,0.150463679,0.111163764
0.777802279,0.12884831,0.093349411
0.797500508,0.119530497,0.082968995
0.735031111,0.15308773,0.111881159
0.735031111,0.15308773,0.111881159
0.697920467,0.168910673,0.13316886
0.742175774,0.15012874,0.107695486
0.736181117,0.155978474,0.10784041
0.644876702,0.199478196,0.155645102
0.757427154,0.14105931,0.101513536
0.730733361,0.159963658,0.109302982
0.480130228,0.230613539,0.289256233
0.741117924,0.151746122,0.107135954
0.730635341,0.160027435,0.109337224
0.76514512,0.13797875,0.09687613
0.608450639,0.256458817,0.135090544
0.413791328,0.32774683,0.258461842
0.777952572,0.126237083,0.095810345
0.657233871,0.189807033,0.152959096
0.64367227,0.196122261,0.160205469
0.7771679,0.127894774,0.094937326
0.687343736,0.177425186,0.135231077
0.331984127,0.488026862,0.179989011
0.27226127,0.483914784,0.243823947
0.253636564,0.374959693,0.371403743
0.301631342,0.51505213,0.183316528
0.281149532,0.507427403,0.211423065
0.263145558,0.456124545,0.280729898
0.427617134,0.417694524,0.154688343
0.33357081,0.414268545,0.252160644
0.304462951,0.418299883,0.277237167
0.301176152,0.323355936,0.375467913
0.486454309,0.36334808,0.150197611
0.357813765,0.391136894,0.25104934
0.298270797,0.498542138,0.203187064
0.328713969,0.259190882,0.41209515
0.314406967,0.269149576,0.416443457
0.441569989,0.230450464,0.327979547
0.26686437,0.274898912,0.458236718
0.322506732,0.270797585,0.406695682
0.387169766,0.249280948,0.363549287
0.339533524,0.293179434,0.367287042
0.395706098,0.243631187,0.360662715
0.210397473,0.562679011,0.226923516
0.195765279,0.61177967,0.192455051
