C1,C2
0.369573228,0.630426772
0.507373156,0.492626844
0.530421967,0.469578033
0.496805604,0.503194396
0.51562524,0.48437476
0.430941099,0.569058901
0.449820444,0.550179556
0.346076566,0.653923434
0.364523794,0.635476206
0.36022419,0.63977581
0.477051553,0.522948447
0.481703002,0.518296998
0.312309389,0.687690611
0.462461063,0.537538937
0.438639261,0.561360739
0.332268634,0.667731366
0.483437498,0.516562502
0.410791932,0.589208068
0.414304583,0.585695417
0.459918286,0.540081714
0.456244961,0.543755039
0.448691105,0.551308895
0.443007182,0.556992818
0.443042078,0.556957922
0.435225535,0.564774465
0.398714465,0.601285535
0.404089002,0.595910998
0.402236175,0.597763825
0.383850551,0.616149449
0.38841506,0.61158494
0.414022702,0.585977298
0.282350645,0.717649355
0.289540476,0.710459524
0.485767495,0.514232505
0.507393949,0.492606051
0.592064397,0.407935603
0.61210529,0.38789471
0.65305807,0.34694193
0.696563091,0.303436909
0.691826431,0.308173569
0.667590812,0.332409188
0.626757131,0.373242869
0.607509639,0.392490361
0.584061078,0.415938922
0.583375199,0.416624801
0.498568954,0.501431046
0.679135121,0.320864879
0.685306791,0.314693209
0.670310682,0.329689318
0.679550943,0.320449057
0.677349061,0.322650939
0.677935658,0.322064342
0.686795573,0.313204427
0.683688913,0.316311087
0.685307425,0.314692575
0.691964093,0.308035907
0.689859166,0.310140834
0.702389225,0.297610775
0.64893378,0.35106622
0.65718964,0.34281036
0.659159958,0.340840042
0.659696626,0.340303374
0.659781568,0.340218432
0.66022101,0.33977899
0.644318799,0.355681201
0.67364356,0.32635644
0.681792969,0.318207031
0.675534756,0.324465244
0.683098991,0.316901009
0.643368542,0.356631458
0.667966278,0.332033722
0.678027497,0.321972503
0.671382518,0.328617482
0.673371613,0.326628387
0.666245883,0.333754117
0.657221005,0.342778995
0.635374836,0.364625164
0.651736554,0.348263446
0.663133966,0.336866034
0.673511808,0.326488192
0.685322393,0.314677607
0.688313561,0.311686439
0.645878935,0.354121065
0.649178287,0.350821713
0.677580309,0.322419691
0.458783819,0.541216181
0.518804901,0.481195099
0.444691646,0.555308354
0.350540218,0.649459782
0.433052427,0.566947573
0.414603132,0.585396868
0.432140706,0.567859294
0.34356314,0.65643686
0.350773564,0.649226436
0.340239584,0.659760416
0.263853321,0.736146679
0.354181234,0.645818766
0.314672265,0.685327735
0.376302561,0.623697439
0.337897856,0.662102144
0.317309696,0.682690304
0.331318664,0.668681336
0.309718358,0.690281642
0.37608208,0.62391792
0.371144274,0.628855726
0.388172367,0.611827633
0.295551848,0.704448152
0.281425563,0.718574437
0.334466806,0.665533194
0.509856037,0.490143963
0.487879644,0.512120356
0.496205791,0.503794209
0.469041859,0.530958141
0.490357694,0.509642306
0.466615458,0.533384542
0.500774097,0.499225903
0.479211215,0.520788785
0.495261346,0.504738654
0.518013806,0.481986194
0.528999514,0.471000486
0.509024666,0.490975334
0.518155819,0.481844181
0.494348026,0.505651974
0.472989533,0.527010467
0.517512066,0.482487934
0.503365036,0.496634964
0.48319069,0.51680931
0.488514406,0.511485594
0.312843845,0.687156155
0.397414638,0.602585362
0.421762515,0.578237485
0.462046191,0.537953809
0.452587398,0.547412602
0.423881017,0.576118983
0.434484434,0.565515566
0.603979206,0.396020794
0.407752019,0.592247981
0.393648771,0.606351229
0.429596535,0.570403465
0.319811073,0.680188927
0.390539491,0.609460509
0.386856301,0.613143699
0.327547493,0.672452507
0.463161278,0.536838722
0.48775548,0.51224452
0.482607836,0.517392164
0.438309977,0.561690023
0.511176068,0.488823932
0.519165614,0.480834386
0.503202531,0.496797469
0.53069039,0.46930961
0.48124473,0.51875527
0.487509995,0.512490005
0.48345507,0.51654493
0.486298233,0.513701767
0.352837822,0.647162178
0.427044448,0.572955552
0.405710326,0.594289674
0.322356108,0.677643892
0.391758589,0.608241411
0.48962638,0.51037362
0.297701889,0.702298111
0.413865783,0.586134217
0.366873491,0.633126509
0.45381741,0.54618259
0.505879769,0.494120231
0.510951412,0.489048588
0.516231901,0.483768099
0.504629175,0.495370825
0.430924406,0.569075594
0.36572404,0.63427596
0.387451496,0.612548504
0.400245299,0.599754701
0.445853091,0.554146909
0.418438781,0.581561219
0.473146193,0.526853807
0.481893745,0.518106255
0.513830513,0.486169487
0.486934487,0.513065513
0.511067582,0.488932418
0.502260244,0.497739756
0.460183453,0.539816547
0.371540759,0.628459241
0.441224399,0.558775601
0.308854733,0.691145267
0.446768267,0.553231733
0.481512381,0.518487619
0.391066901,0.608933099
0.45042813,0.54957187
0.449908378,0.550091622
0.46124592,0.53875408
0.423812874,0.576187126
0.428729143,0.571270857
0.510903032,0.489096968
0.464916139,0.535083861
0.413487841,0.586512159
0.470700796,0.529299204
0.416881357,0.583118643
0.5100164,0.4899836
0.38049643,0.61950357
0.378472485,0.621527515
0.417812564,0.582187436
0.444495438,0.555504562
