C1,C2,C3,C4,C5
0.19190532,0.191904297,0.087763689,0.45177517,0.076651524
0.179835067,0.179834197,0.089577561,0.477570421,0.073182754
0.218299768,0.21829894,0.128503969,0.162284111,0.272613212
0.223397384,0.223396742,0.14602659,0.158301738,0.248877545
0.156929422,0.15692883,0.080555419,0.542035994,0.063550335
0.098890907,0.098891844,0.711948543,0.052994047,0.03727466
0.112019586,0.112020589,0.669869028,0.062462645,0.043628152
0.21987956,0.21987996,0.191143537,0.282803424,0.086293519
0.226967807,0.226968691,0.264458926,0.135536905,0.14606767
0.222718112,0.222719202,0.292985825,0.125369991,0.136206869
0.168005826,0.168006823,0.465171835,0.094998447,0.103817069
0.175554278,0.175555296,0.440831553,0.098987335,0.109071537
0.167167429,0.167168487,0.476324384,0.087448375,0.101891325
0.172930231,0.172931136,0.437687497,0.101547522,0.114903614
0.127909319,0.127910251,0.605770496,0.06904492,0.069365014
0.133804068,0.13380498,0.583456861,0.074569688,0.074364403
0.111408836,0.111409765,0.665245472,0.063636983,0.048298943
0.120653059,0.120653993,0.633353486,0.07168742,0.053652042
0.094236281,0.094237158,0.723597204,0.050171156,0.0377582
0.105596944,0.105597839,0.684979614,0.06009832,0.043727283
0.09313291,0.093133718,0.722485191,0.047571633,0.043676548
0.102723586,0.102724416,0.690022865,0.056182241,0.048346893
0.102933801,0.102934647,0.689391479,0.055814409,0.048925664
0.112274516,0.112275385,0.658145419,0.063298656,0.054006024
0.108001133,0.108002002,0.6730266,0.056910168,0.054060096
0.123643458,0.123644359,0.619155898,0.070681512,0.062874773
0.171787768,0.171788768,0.451461108,0.096351499,0.108610857
0.188927409,0.188928392,0.386969509,0.108749661,0.126425028
0.170995685,0.170996738,0.45910787,0.090568525,0.108331181
0.176255093,0.176256085,0.433462239,0.096955459,0.117071124
0.165516776,0.165517885,0.484708002,0.08447548,0.099781856
0.190861107,0.19086204,0.372344074,0.10918745,0.13674533
0.193552764,0.193553666,0.35877135,0.111453176,0.142669042
0.199597248,0.199598099,0.333473664,0.120807681,0.146523308
0.199088064,0.199088978,0.342742644,0.11757494,0.141505374
0.151482711,0.151483888,0.540517997,0.074279973,0.082235432
0.129493996,0.129494953,0.60216189,0.067442824,0.071406338
