C1,C2,C3,C4,C5,C6
0.21083353,0.20391382,0.145771964,0.168909521,0.101661698,0.168909467
0.331096625,0.342540495,0.037043294,0.111220043,0.066879461,0.111220081
0.252657747,0.38660364,0.055845416,0.11950703,0.06587914,0.119507027
0.280849035,0.314744184,0.053806929,0.129146811,0.092306187,0.129146854
0.257323795,0.412679787,0.049075814,0.108289875,0.064340841,0.108289887
0.271034089,0.262170753,0.070395084,0.154008127,0.088383823,0.154008125
0.25957384,0.40061078,0.049431753,0.111467709,0.067448195,0.111467722
0.258923613,0.35306491,0.066309961,0.129258075,0.063185396,0.129258045
0.254089872,0.371150479,0.055041691,0.118974167,0.081769596,0.118974195
0.259035507,0.369558354,0.061427659,0.12279129,0.064395912,0.122791278
0.250447204,0.31219648,0.078656134,0.143963027,0.070774172,0.143962983
0.257571263,0.359104196,0.06417622,0.1275511,0.064046143,0.127551078
0.268700159,0.387038161,0.052112886,0.114823566,0.062501666,0.114823562
0.247421318,0.38202692,0.054908345,0.12097739,0.073688622,0.120977405
0.24564677,0.355946482,0.05923651,0.1241129,0.090944406,0.124112933
0.241349725,0.388519538,0.057294221,0.116662406,0.079511684,0.116662426
0.320134744,0.2315125,0.057647501,0.155219538,0.08026614,0.155219576
0.251441305,0.329240301,0.062679914,0.137613747,0.08141098,0.137613754
0.285399428,0.257322511,0.070173574,0.144980931,0.097142603,0.144980951
0.254732253,0.284574963,0.086093977,0.143382794,0.087833229,0.143382784
0.240946492,0.177433235,0.109755234,0.178521884,0.114821291,0.178521864
0.301761903,0.184911145,0.064281086,0.165279945,0.118485914,0.165280007
0.246180736,0.285012567,0.074747953,0.141093256,0.111872199,0.141093289
0.236486357,0.30874566,0.078213734,0.137274055,0.102006118,0.137274075
0.287592202,0.230436325,0.071963587,0.153926859,0.102154147,0.153926879
0.250111934,0.217216,0.095547827,0.163100216,0.110923807,0.163100215
0.38379961,0.261091998,0.037875109,0.11969309,0.077847048,0.119693146
0.36314745,0.31036091,0.04251783,0.110623964,0.062725862,0.110623984
0.400426187,0.220156128,0.044337727,0.131092368,0.072895194,0.131092396
0.338610577,0.234089844,0.064496105,0.14335615,0.076091185,0.143356138
0.080175958,0.054640322,0.036712112,0.09183752,0.644796487,0.091837601
0.122495329,0.080905207,0.05921728,0.144495068,0.448391932,0.144495182
0.113927239,0.070287061,0.056206501,0.145909272,0.467760531,0.145909395
0.101420469,0.05912768,0.049024623,0.139566289,0.511294524,0.139566414
0.113041079,0.07119012,0.057807325,0.145575264,0.466810828,0.145575383
0.069272441,0.046793255,0.031498883,0.080650556,0.691134235,0.08065063
0.075575895,0.047935912,0.035484763,0.095969042,0.649065251,0.095969137
0.149056063,0.087850936,0.066781878,0.16792767,0.360455658,0.167927795
0.082217824,0.056138052,0.038795155,0.094797641,0.633253605,0.094797723
0.068437419,0.047142858,0.03171031,0.078529649,0.695650046,0.078529719
0.084283542,0.057283091,0.039925516,0.097485095,0.623537576,0.097485179
0.066882495,0.0440633,0.031095957,0.080071509,0.697815155,0.080071584
0.223232957,0.165955686,0.092285916,0.186633584,0.145258227,0.186633629
0.195021927,0.164056567,0.159040967,0.182085422,0.117709739,0.182085377
0.214087855,0.18040439,0.124168273,0.179824385,0.12169073,0.179824367
0.196527449,0.154699493,0.143814667,0.189809742,0.12533891,0.189809739
0.197852844,0.171059367,0.138463881,0.18072284,0.131178256,0.180722813
0.214406207,0.248137048,0.097829056,0.16110488,0.117417921,0.161104888
0.203096072,0.17647014,0.140204654,0.179742535,0.120744105,0.179742494
0.209128416,0.130368499,0.089533815,0.208222086,0.154524982,0.208222202
0.199475137,0.173475596,0.150434313,0.177882939,0.120849127,0.177882889
