C1,C2,C3,C4
0.26909017,0.333288427,0.177177191,0.220444212
0.234922251,0.306851518,0.214453913,0.243772318
0.182427444,0.366480843,0.107921525,0.343170188
0.795541718,0.10308555,0.04226594,0.059106792
0.762999738,0.115611512,0.050788059,0.070600692
0.271873867,0.268995292,0.240756583,0.218374258
0.416530637,0.269740115,0.167406782,0.146322466
0.802237374,0.102510549,0.040826076,0.054426001
0.232592899,0.262588237,0.327405101,0.177413763
0.810578444,0.093893037,0.040037663,0.055490856
0.801667615,0.097942358,0.04142431,0.058965717
0.77728497,0.109720969,0.04870869,0.064285371
0.792883037,0.10401078,0.046076224,0.057029959
0.793822999,0.104866354,0.046389763,0.054920884
0.332017883,0.277140652,0.204519353,0.186322112
0.164184821,0.246527768,0.434366732,0.154920678
0.157073572,0.233765198,0.473876486,0.135284743
0.554290083,0.212415804,0.11259421,0.120699903
0.742118857,0.129449425,0.054288006,0.074143712
0.160977927,0.233777612,0.101065825,0.504178637
0.170114992,0.263195526,0.131209567,0.435479915
0.162826567,0.26702316,0.155972772,0.4141775
0.153952449,0.257657622,0.09872863,0.489661299
0.094959408,0.18548117,0.073971028,0.645588394
0.174620127,0.267012351,0.141518059,0.416849463
0.168595569,0.260578989,0.14150149,0.429323952
0.156792982,0.239741238,0.110014281,0.493451499
0.171513999,0.256310396,0.146770317,0.425405288
0.170604768,0.23509893,0.107428361,0.486867942
0.169835944,0.248203465,0.135172154,0.446788437
0.174675458,0.257943545,0.134580149,0.432800848
0.173263185,0.242364759,0.11502247,0.469349586
0.180148459,0.256671884,0.145706292,0.417473365
0.155788934,0.236751006,0.112577316,0.494882743
0.158615161,0.245798811,0.141161225,0.454424803
0.159630451,0.231139377,0.103519005,0.505711167
0.131210123,0.205100537,0.092540853,0.571148487
0.147687184,0.227847527,0.10976871,0.51469658
0.148191437,0.220429387,0.103521535,0.52785764
0.163822355,0.256742724,0.123397029,0.456037892
0.162817327,0.238917114,0.104480389,0.49378517
0.373442829,0.29639622,0.096920898,0.233240052
0.280808519,0.365986853,0.133899197,0.219305431
0.186765613,0.290289935,0.235007813,0.287936638
0.186163318,0.290713339,0.194392621,0.328730722
0.184370908,0.290196103,0.197798041,0.327634949
0.130714263,0.212545299,0.096195048,0.560545389
0.159906296,0.250607809,0.123200073,0.466285822
0.141170703,0.215804004,0.091109802,0.551915491
0.162324841,0.233510931,0.089924676,0.514239551
0.123979788,0.204201862,0.081535398,0.590282952
0.163327468,0.239014469,0.110507612,0.487150451
0.173509733,0.234252748,0.108163989,0.48407353
0.145284886,0.232765075,0.10024048,0.521709559
0.229638285,0.307670305,0.192024513,0.270666897
0.229646976,0.31219057,0.185605095,0.272557359
0.205173541,0.29656101,0.172116467,0.326148983
0.211431758,0.295894994,0.182807514,0.309865734
0.207412086,0.305653287,0.167550366,0.31938426
0.206830522,0.305948759,0.167563843,0.319656877
0.209171062,0.310227653,0.158888266,0.321713019
0.229109288,0.312475087,0.185687739,0.272727886
0.210509524,0.311571703,0.169971206,0.307947566
0.213546293,0.306016671,0.179537246,0.30089979
0.229638285,0.307670305,0.192024513,0.270666897
0.202870666,0.297706135,0.172679399,0.326743799
0.211300829,0.296020413,0.182809692,0.309869066
0.179292065,0.282325114,0.168204055,0.370178766
0.179139499,0.282508303,0.167570249,0.370781949
0.161417139,0.233336514,0.087128531,0.518117816
0.121715814,0.204530608,0.086704268,0.58704931
0.319237643,0.312854276,0.194468822,0.17343926
0.299677507,0.330593556,0.18997513,0.179753807
0.450792891,0.249680024,0.1402852,0.159241885
0.337261875,0.305017624,0.17964369,0.178076811
0.702202489,0.148960539,0.055279995,0.093556977
0.497773119,0.244525043,0.111910105,0.145791732
0.540999015,0.232988484,0.100469837,0.125542665
0.747455612,0.125392504,0.048140185,0.079011699
0.368667126,0.282869268,0.149321133,0.199142474
0.351455474,0.284092662,0.152419776,0.212032089
0.400262577,0.284253484,0.137217791,0.178266149
0.273135148,0.329797014,0.233222761,0.163845078
0.298770408,0.302110849,0.20900243,0.190116312
0.58591541,0.207134305,0.094977461,0.111972824
0.488972807,0.254568318,0.114464945,0.14199393
0.345178286,0.291097255,0.155453603,0.208270857
0.578852501,0.219472315,0.094249483,0.107425701
0.595295277,0.205566139,0.089924083,0.109214501
0.212146385,0.26970328,0.351045194,0.16710514
0.212104426,0.278990619,0.318255722,0.190649233
0.64059728,0.181737769,0.078306936,0.099358015
0.071757007,0.126783667,0.050577443,0.750881884
0.083415886,0.1418128,0.058324169,0.716447145
0.359950187,0.278072878,0.114959854,0.247017081
0.179603654,0.289237367,0.193381716,0.337777262
0.166013243,0.282998186,0.179729345,0.371259225
0.125452658,0.212856748,0.136501837,0.525188757
0.130181102,0.221595519,0.143123868,0.505099511
0.116031499,0.211862113,0.134756935,0.537349453
0.134162095,0.219403059,0.150355025,0.49607982
0.094902688,0.167845478,0.094860571,0.642391263
0.102253778,0.175279989,0.101389952,0.62107628
0.088178096,0.147654884,0.067152264,0.697014757
0.098871904,0.159321706,0.074278346,0.667528043
0.071049603,0.127254213,0.053775079,0.747921105
0.084779032,0.142277311,0.0620174,0.710926257
0.068782996,0.127975417,0.063049297,0.74019229
0.080088309,0.139416468,0.068823239,0.711671985
0.079054923,0.138927228,0.06914968,0.712868169
0.088451257,0.149591965,0.075318692,0.686638086
0.080058916,0.144588488,0.075727236,0.69962536
0.097088195,0.162096637,0.086039132,0.654776036
0.126944902,0.217050345,0.142434712,0.51357004
0.141986886,0.237179377,0.164594539,0.456239198
0.119572456,0.215860687,0.142216182,0.522350675
0.127730685,0.222547793,0.153234787,0.496486735
0.111662453,0.208712828,0.131262216,0.548362503
0.142653219,0.239558402,0.177296289,0.440492089
