C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0.016432748,0.005357009,0.304396984,0.000177068,0.26225547,0.018009985,0.002704159,0.003077232,0.009053721,0.001092019,0.377443606
0.005172212,0.001815069,0.086521216,6.53E-05,0.451421481,0.005563561,0.000917275,0.001054834,0.002967772,0.000392223,0.444109012
0.00865507,0.002891661,0.198270561,9.88E-05,0.303428909,0.00951727,0.001442185,0.001701163,0.004810736,0.000604576,0.468579074
0.009011092,0.003432971,0.115164039,0.000132535,0.557643886,0.010136671,0.001726828,0.002096454,0.005144273,0.0007729,0.294738352
0.008943211,0.003314673,0.135057869,0.000124083,0.509361314,0.010157132,0.001682196,0.002008254,0.005029214,0.000732065,0.32358999
0.004261615,0.001591218,0.071218768,6.00E-05,0.718149576,0.004862689,0.000785754,0.000975839,0.002403372,0.000352935,0.195338256
0.006101634,0.002320447,0.093861605,8.91E-05,0.66367597,0.007040448,0.001165774,0.001448756,0.003463537,0.000520305,0.220312383
0.005331281,0.001973216,0.08664628,7.34E-05,0.681657334,0.006066336,0.000968235,0.001186171,0.002985348,0.000434842,0.212677561
0.005960743,0.00209702,0.121043171,7.41E-05,0.467291319,0.006664189,0.001049805,0.001212533,0.003286457,0.000446251,0.390874415
0.007722589,0.002712276,0.198886346,9.42E-05,0.409638642,0.008937319,0.001317726,0.001586856,0.004155109,0.000567188,0.364381774
0.005852606,0.002150824,0.07408462,8.13E-05,0.408696817,0.006230783,0.001138718,0.001270583,0.00342687,0.000481116,0.49658581
0.005852811,0.002184801,0.086948373,8.32E-05,0.50342041,0.006484965,0.001140635,0.001354232,0.003392786,0.000490934,0.388646823
0.003937351,0.001454461,0.056054463,5.47E-05,0.685381263,0.004312933,0.000728454,0.000868302,0.002262681,0.000324468,0.244620935
0.008875582,0.003314416,0.097483132,0.000126327,0.402765011,0.009389165,0.001744038,0.001948663,0.005220375,0.000749254,0.468384038
0.008240642,0.002857517,0.115318477,0.000100082,0.393680545,0.008689437,0.001395755,0.001589058,0.004605326,0.000611994,0.462911168
0.0151254,0.006171788,0.128257448,0.000263698,0.526837798,0.016666834,0.003229011,0.004025679,0.009285341,0.001498248,0.288638755
0.012195854,0.004695519,0.113753389,0.000188632,0.35471198,0.012865809,0.00269857,0.002913063,0.00741745,0.001093996,0.487465738
0.01490863,0.006132928,0.12587021,0.000266117,0.480103367,0.016405657,0.003429013,0.004021879,0.009187477,0.001496559,0.338178162
0.004569162,0.001730591,0.059753429,6.74E-05,0.626959028,0.005014535,0.000897491,0.001069607,0.002661027,0.000394913,0.29688284
0.004434867,0.001680361,0.057936585,6.53E-05,0.686502286,0.00489112,0.00086329,0.001027014,0.002573678,0.000382166,0.239643366
0.005423643,0.002054047,0.068992301,7.98E-05,0.661343398,0.005982702,0.001045496,0.001262076,0.003138204,0.000468892,0.250209403
0.007315276,0.002708446,0.08550398,0.000103715,0.300228019,0.007770352,0.001507249,0.001627645,0.004347435,0.000609672,0.58827821
